1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.98918,1.51581,1.49141,1.47696,1.47387,1.35618,1.32732,1.51531,1.48033,1.47361,1.47127,1.38864,1.4139,1.43953,1.46498,1.46505,1.46504,1.42009,1.42521,1.43893,1.45026,1.4568,1.4581,1.42939,1.43224,1.43897,1.44636,1.45143,1.45322,1.43199,1.43406,1.43932,1.44533,1.44985,1.45148
1,1.51581,2.53386,1.99724,1.94085,1.9233,1.38864,1.54777,1.85991,1.97123,1.92047,1.91141,1.62673,1.67762,1.77958,1.85618,1.88176,1.88182,1.71226,1.73109,1.77497,1.81789,1.84361,1.85145,1.74491,1.75449,1.77818,1.80475,1.82407,1.83093,1.75374,1.76107,1.77967,1.80148,1.81816,1.82431
1,1.49141,1.99724,2.93449,2.36588,2.32393,1.42009,1.54425,2.00268,2.22909,2.32462,2.28059,1.71226,1.78859,1.9417,2.09469,2.17141,2.19692,1.85065,1.88081,1.95628,2.03721,2.09452,2.11369,1.90673,1.92371,1.96658,2.01698,2.05548,2.06974,1.9225,1.93585,1.97024,2.01154,2.04402,2.05618
1,1.47696,1.94085,2.36588,3.28868,2.77336,1.42939,1.54682,1.96122,2.33392,2.55361,2.69756,1.74491,1.82132,1.99994,2.20407,2.35713,2.40827,1.90673,1.94344,2.03809,2.1506,2.23807,2.27096,1.97846,2.00049,2.05762,2.12721,2.18268,2.20365,1.9991,2.01697,2.06353,2.12062,2.16644,2.18386
1,1.47387,1.9233,2.32393,2.77336,4.24723,1.43199,1.54707,1.95475,2.29248,2.70015,2.81524,1.75374,1.83013,2.00882,2.23841,2.41709,2.49349,1.9225,1.96051,2.06169,2.18553,2.28672,2.32473,1.9991,2.02293,2.08512,2.16211,2.2243,2.24812,2.02149,2.04098,2.09206,2.15517,2.20625,2.22574
1,1.35618,1.38864,1.42009,1.42939,1.43199,1.98918,1.32732,1.4139,1.42521,1.43224,1.43406,1.51581,1.51531,1.43953,1.43893,1.43897,1.43932,1.49141,1.48033,1.46498,1.45026,1.44636,1.44533,1.47696,1.47361,1.46505,1.4568,1.45143,1.44985,1.47387,1.47127,1.46504,1.4581,1.45322,1.45148
1,1.32732,1.54777,1.54425,1.54682,1.54707,1.32732,1.67268,1.53539,1.54723,1.54707,1.54733,1.54777,1.53539,1.56047,1.54805,1.54799,1.54782,1.54425,1.54723,1.54805,1.54974,1.54842,1.54828,1.54682,1.54707,1.54799,1.54842,1.54857,1.54846,1.54707,1.54733,1.54782,1.54828,1.54846,1.54852
1,1.51531,1.85991,2.00268,1.96122,1.95475,1.4139,1.53539,2.18198,1.96328,1.9549,1.94798,1.67762,1.7661,1.86833,1.94485,1.93236,1.9321,1.78859,1.80774,1.85522,1.89208,1.91063,1.91306,1.82132,1.83105,1.85373,1.87784,1.89367,1.89909,1.83013,1.83711,1.85457,1.87421,1.88865,1.89377
1,1.48033,1.97123,2.22909,2.33392,2.29248,1.42521,1.54723,1.96328,2.51971,2.2808,2.27439,1.73109,1.80774,1.99892,2.15199,2.22844,2.21636,1.88081,1.91639,1.99902,2.086,2.13972,2.15857,1.94344,1.96185,2.00822,2.06108,2.1006,2.11469,1.96051,1.97488,2.01152,2.05499,2.08861,2.10112
